Lecture starts tomorrow,yes
 His wedding Anniversary was over last week,no
 Homework is due tomrrow,no
 Board meeting is scheduled next week,yes
There is a seminar next week,yes
" Hitler joined the German Workers' Party, the prcursor of the NSDAP, in 1919 and became leader of the NSDAP in 1921",no
 Please gather in the auditorium tomorrow morning,yes
 Can we meet at starbucks tomorrow evening?,yes
 Will you be joning today's team meeting?,yes
 The lecture starts tomorrow morning in the Auditorium,yes
 Elizabeth II died during great war of Britain in 1933,no
 Hitler commmited suicide in 1945,no
 John got married in 1988,no
 Rajinikanth's next movie will be released on 2018,no
 Abdul kalam's next Anniversary will be held in Chennai on August 2017,yes
 I will be there for your  son's birthday party tomorrow,yes
 I will be late for the meeting by 10 minutes,yes
 Do you expect more guests for the get togather tomorrow at Dallas?,yes
 Independence day is a day of remembrance for all citizens,yes
 He is planning to participate in marathon next year,no
 There is a annual meeting for Agriculture development conducted by the Dallas Agro Development Deparment,yes
 No new movies are released tomorrow,no
" Yesterday, he said he would attend the meeting, but he didnt",no
 More people attended Tom's Anniversary last week,no
 I will definitely attend his marriage next month at San Fransisco,yes
 Anniversaries are hard to remember these days,no
 I just got a text from office that there is a meeting scheduled tomorrow morning,yes
 I forgot that I had a meeting to attend,no
 We are planning a surprise gift for our parents' wedding Anniversary,no
 My sister's marriage is happening tomorrow in Temple,yes
 Are you available tomorrow for a short meeting?,yes
 My boss said we need to have a one to one meeting tomorrow,yes
 I invite all of you for my son's birthday next week at my place,yes
 Will you attend my birthday party today?,yes
 I am very happy to hear about your wedding,no
 There is a meeting scheduled tomorrow to discuss about recent happenings,yes
 We have a gathering at our place next monday,yes
 Tom's wedding is happening next month,yes
 His marriage was celebrated in a grand manner,no
 Lot of activities are planned for his 56th Anniversary at his house,no
 He is not going to attend the meeting tomorrow,yes
 He is not attending the birthday party tomorrow,yes
 He is not attending Tom's birthday party tomorrow,yes
 He is not attending the lecture next week,yes
 He is not attending the seminar next month,yes
 What can we do if he doesn't attend the meeting next month,yes
 Tomorrow's board meeting is cancelled,yes
 Please dont come to my son's wedding next week,yes
 Annual meeting is cancelled tomorrow,yes
 Nivas will not be attending any meeting tomorrow,yes
 Nivas is getting married next year,yes
 Nivas's birthday party is planned tomorrow evening,yes
He will not go to movie tomorrow,no
He is very sick,no
Do we have class tomorrow?,no
How to train your dragon within a week?,no
She was on phone the whole night,no
